author,content,stat_time,thumbs_up
梦若流水,"姑娘985硕士毕业后，在一所大学当辅导员。长相一般，27了，还没有一个谈婚论嫁的男朋友，家长很着急，姑娘很佛系。,她爸出主意:要想拴住男人的心，就要拴住男人的胃，你看你妈饭做的多好。她妈也一个劲地附和:女孩子也要有一技之长，不能光会学习和工作上的那点东西。,于是乎，姑娘在工作之余，报了一个厨艺班，三月下来，厨艺不好说，整整胖了八斤，而且脸上最显。,离结婚的小目标好像又远了一点点","
2020-09-09 13:33
",879
你不懂蛋蛋的忧伤,地铁是一个城市的大肠，穿梭于其中的你是这个城市的大便。,"
2020-07-30 12:39
",1304
正版煮茶,"饭店碰到朋友夫妻两人，他们两个人就着一盘青菜，大口吃米饭。我心里一酸，也没跟他们打招呼，对服务员说，那桌单我买了。,服务员让我一扫，好家伙，他们吃了500多，我才吃了几十块的！服务员解释：其他菜吃完了，盘子都收了，就这盘青菜上慢了，他们只好又点了米饭，估计赶时间所以吃的急。","
2020-08-15 20:34
",1777
坏小孩cium,"老公的爸爸也就是我爸，喜欢喝酒，但是不和我们住一块，我过去看他总会带三五瓶酒，一般就百来块钱左右一瓶。。。,         周末，老爸的好多朋友来拜访他，让我家一起过去吃饭，准备阶段，老爸让我老公去拿酒，我老公把我送给他的酒拿出来，老爸破口大骂:怎么可以把儿媳妇送给我的好酒拿出来，这个我舍不得留着过年喝，把那些便宜的茅台拿出来给我老兄弟喝就行了。。。,         我。。。。。​","
2020-09-02 06:16
",2270
在下李白,"记得那是12年在工厂打工的时候,一转眼到午饭时间，我和同事一起屁颠屁颠的来到了食堂，各自打好菜来到了餐桌准备开吃，因为是盛夏，食堂又没个空调，就一台破旧的台式风扇，在那要死不活的工作着，饭又是刚蒸好的，因为早餐没吃，有点饿，就吃了一大口，可能是大脑神经痛觉还没传达下来，还咀嚼了两下，突然整个味蕾和口腔由如火烧般疼痛，又想着老祖宗说过浪费可耻，我又吐回到碗里，这时，耳中听到同事纷纷传来卧槽的声音，我不明就里，就抬头看看，发现没什么事，就低头继续把吐出且有咀嚼过两下的饭团拌匀，散发热量，趁着空档我想抬头跟几位同事聊聊天，可确看到同事们一副吃了死苍蝇般情看着我，我问：干嘛这么看着我，同事说：没，没事,我看没事，心想饭也凉的差不多了，就低头去吃碗里的饭，就在这时，同事大喊：尼…玛，受不了了，然后就是纷纷拿餐盘跑路的声音，留下一脸懵逼的我，回想当时他们那要死不活的表情，我以为是谁在放屁，但是我又没闻到，为了不让他们怀疑屁是我放的，也拿起餐盘要换桌子，可却看到同事如同看到基佬般的样子跟我说：你…你别过来。,此后，同事半年没跟我一起吃饭了","
2020-09-14 07:59
",581
薄之凉,"女：我第一次相亲有点紧张！我：不用紧张，反正咱俩不一定能成。,女：你这车不错！我：新买的。,女：你长得还行！我：你长得太一般了。,女：我本人没有照片好看。我：你照片也不咋地，你有什么爱好？,女：我就喜欢逛街……我：咱俩不合适，我很懒，不喜欢动，更不喜欢花钱。,女：那算了，拜拜！我：你去哪？要不要我捎你一段？,女：也行！我：上车，50块！,女：你是跑网约车的？我：不是！我就寻思着不能走空，相亲不能买卖在！你知道我这车是咋买的吗？","
2020-09-13 21:12
",539
狐小乔,"我小叔子年轻的时候学过散打，现在在一家借贷公司当催收员。,为了能够震慑借钱的人，去剪了光头纹了一条过肩龙。,本以为会比以前凶悍点，没想到小区幼儿园的孩子都很喜欢。,他们围着小叔子非要给他们摸一摸，小叔子说：摸可以，一下10块钱。,这不，一会的功夫赚了200多块钱了！","
2020-08-25 10:59
",2095
精灵不次饭～,早上我把垃圾袋放门口，准备一会下楼去扔。垃圾有点满，我弯着腰小心系袋口时，对门李哥的儿子抓着门框嚷着“我不去，我不上补习班！”李哥生气地站门口训他。我衣服领子有点大，担心走 光就用手去捂 胸 口，一下没稳住，倒栽葱来了个驴打滚我擦……特么刚才还鬼哭狼嚎的小屁孩居然拍手叫道“这个好玩，再来一个！”,"
2020-07-23 10:24
",1310
.该用户已注销,"哥哥快奔三啦,回老家这段时间天天看《康熙王朝》以至于入迷。,亲戚来我家就为了他的婚事,他倒躲在房间里看剧,老爸把他叫出来让他选一张美女照片试着交往,他轻蔑眼神：“就这？一般货色！换一批！众爱卿就是这样为寡人办事的？”,老爸白了他一眼：“没大没小说谁呢？天天看剧入迷了不成？你以为你康熙选妃吗？！我哥两眼一瞪手：“大胆！朕怎么会看入迷？”,众人一脸惊愕……","
2020-08-13 10:58
",1261
￡白玉汤,"3，一国王选婿,拉一牛至河边说:谁能让这牛先点头后摇头再跳到河里,我就把公主嫁给他.,一屠夫上前对牛说:挺牛B啊?,牛点头.,屠夫又说:认识我不?,牛摇头.,屠夫一刀扎在牛屁股上,牛负痛跳入河中.,国王嫌屠夫手段粗暴,屠夫要求再试一次,国王允.此牛又被拉到河边.,屠夫上前对此牛说;认识我了不?,牛点头.,屠夫又说:还牛B不了?,牛摇头.,屠夫笑着说;知道咋办了不?,牛转身跳入河中,","
2020-09-14 06:51
",502
忧郁的创可贴,"晚饭时切辣椒被辣到了手，网上说喷酒精很有效，但我试了根本没什么用，手还是火辣辣的疼。,然后跟男票吐槽，结果男票说，你喷的地方不对，你应该是往嘴里喷，喝醉了就不知道疼了。。。","
2020-08-27 07:27
",1471
花落彼岸～任逍遥,我老爸是个老 烟 枪，从早上睁开眼开始烟不离手，我老妈被他熏的没法没法的，我老妈看 电 视 听说吸二手烟危害更大，决定给我老爸戒烟，烟卷不让抽了我爸买旱烟，，旱烟给藏起他偷着抽，我老妈气的直接给扔灶膛点火烧了，我老爸急得登梯子上烟囱上又闻了一下,"
2020-08-23 17:06
",1227
五行缺少你,"以前经常听说，在上衣口袋里插钢笔大有学问，比如初中生一支，高中生两支。。。,我就想啊，那博士该插多少钢笔啊，总该插满吧？于是我就在上衣口袋里插满了形形色色的钢笔，雄赳赳气昂昂的跟着朋友去相亲了。,谁知道女方一看见我就骂我：你个臭 不要脸的！一个修钢笔的也好意思出来和我相亲，趁早 死 一边去！！,看着女方扬长而去的背影，我半天说不出话来。朋友埋怨我说：你看看你，搞的什么 鬼？我的脸都被你丢光了！！,我委屈的说：我不就是想着多插几支钢笔，显得有文化吗？这有什么错？？？","
2020-07-23 10:20
",1173
小猴子(houdking),"晚饭后，我在专心玩手机，媳妇猛不丁的问我：“你们男人为什么都那么喜欢漂亮的女人？”,思路忽然被打断，我还沉浸在上个的记忆片段中……一时大脑空白，毫无意识的脱口而出大实话：“因为不漂亮的我自己家里有。”,睡了好几天沙发了，唉，老胳膊老腿老腰真不经折腾……","
2020-07-28 05:52
",1884
赵兄托你帮半点事,早上起床时，那种困顿，那种悔恨，那种生不如死的感觉。都让我想杀了昨晚的自己。可是每天凌晨，那种自信，那种嚣张，那种精神抖擞，不可一世的感觉。我甚至不记得自己是谁。,"
2020-07-29 21:28
",1253
璃白°,"我买了几个榴莲去看望新婚的嫂子和哥哥，那天哥哥还在上班，我把榴莲门口一丢，跑进厨房和嫂子学做饭。。。,叮咚，嫂子跑去开门，我哥一进门，看到放在门边上箱子里的榴莲，扑通一声跪下:老婆我错了。。。​","
2020-07-29 05:25
",2393
-小门神~,"那年工地上班，晚上去超市买铁饭盒！,路上遇见一位乞讨的流浪汉，我想帮他，可惜口袋只有一张百元纸币！,我怀着愧疚的心情走了，超市回来又遇见了他！此时的我有了零钱…,人与人之间应该平等，于是我放低姿态蹲下身子，小心翼翼递给他十块钱！,他看我穿的寒酸，又见我手里提着的饭盒，指着不远处一块草坪说:,你这新人还知道交保付费，挺上道啊，那个位置以后就是你的了……","
2020-08-17 08:18
",1888
吃了两碗又盛,"穿新裤子掉钱，这是我昨天才发现的。,前些天第一次穿丢了二百，我没有觉察到是裤子的问题。昨天第二次穿新裤子，又丢二百，我就警觉起来。,做实验，把钱放裤兜里，走不到五百步钱就在摩擦力的作用下窜出来了。,我给媳妇演示这一过程的时候，走了五千多步，钱还稳稳地在兜里待着呢！","
2020-07-25 11:52
",1170
姐姐掉沟里了,"玩这坨已经两年多了，经常看到有人直，播，就想跟个风，开一次玩玩。,谁知道事与愿违啊，卧槽！我又唱又跳，还深情的千呼万唤：欧巴欧巴，来吧来吧……,结果来看我直播的，竟然一个人都没有！……,​闺蜜小菊听我哭着说完，叹气说：姐啊！你忘戴口罩了吧？,我问她怎么知道的。小菊说：难道你不知道，这是一个看脸的年代么？,我愣住了……​","
2020-08-07 08:16
",1243
正版煮茶,"那年，我给我发小当伴郎，去迎亲的时候，新娘的哥哥估计是想给发小下马威，当着大伙面表演了一个胸口碎大石。,一锤下去，石板没事，新娘的哥哥一口老血吐出，白眼一翻，就没了动静。,当时新娘亲戚中有当医生的，赶紧过来把完脉之后，摇了摇头：“趁着人齐，办完婚事，就把他后事也办了吧。”,正在七嘴八舌商量怎么办后事的时候，新娘的哥哥终于缓过劲来，奄奄一息气若游丝的指着身上的石板，叫人把石板搬下来。,婚礼合照的时候，年轻人都站着，两位八十多岁的老人坐着，而他是躺着的。气势十足，俨然老大风范...,我发小到现在都对新娘都很好，估计是知道新娘的哥哥能为她这么拼命。","
2020-08-14 17:44
",1369
夏有凉风秋望月,"男友外地出差，在和我 视 频 聊天的时候，我一再叮嘱男友晚上不 要 出 门，要懂得保护好自己！男友不耐烦的问是不是来大 姨 妈 了，哪有那么多事情！还问我有没有人帮我倒热水！,特么的，，这","
2020-09-05 18:54
",1547
坏小孩cium,"在北京朋友那，我学会用夜壶，回农村老家后没夜壶，我就改带盖不修钢汤锅替代。。。,        那天早上拎着汤锅准备去茅房，遇到小时候几个发小，热情扑过来问我啥好吃的，我羞怯的护住:没没没!是米田 共水。,       她们不信，一个抱着我，几个轮番夺，终于寡不敌众，她们举着汤锅，用不屑的语气:出去几年还学会吃独食，小木养儿。,       然后她们以胜利者的姿态打开了盖。。。","
2020-08-24 06:05
",1283
挖鼻孔的老虎,"小外甥在厨房看老婆做饭，后来老婆让他去拿个冰激凌吃。,他够不到冰箱的速冻层，于是我帮他拿，他跟我说对不起，我告诉他应该说谢谢。,然后他说：“我把你藏钱的地方告诉了舅妈，她才奖励我吃的。”","
2020-09-06 14:54
",1959
聊天不撩妹子,"侄儿今年二十九了，大学毕业后一直在么 外   资上班的，没有女朋友，哥嫂急的大行，求人给介绍一姑娘，约好礼拜天让他去见面相亲。,为了撑门面，哥嫂不但让他穿的好看点，还让他去租一辆车，说是他平常开的越野车开去把姑娘吓跑了。,侄儿也算听父母话的，刚好他一直称兄道弟女同事，刚提不久的5 系宝马，就电话跟女同事商量换着开一天，他同事听说他去相亲的，开心地答应了，说是正好她明天也相亲。,到了相约咖啡厅，刚把钥匙往桌上一扔，头一抬刚要开口说话，那个妹子笑嘻嘻的看着他。。。。,原来和他相亲的是她！","
2020-09-09 13:55
",2886
图图的耳朵会动耶,"最近给儿子报了暑假班，有时候忙，会晚点去接他，就叮嘱他千万不能乱跑！还告诉他，坏人怕警！察，如果有人跟他说话，就告诉别人，爸爸是警！ 察！儿子很乖，都记住了，我还扮演坏人跟他演示了几次，他每次都昂着头，大声说：我爸爸是警！察！他等下就来接我了！,周末，老公回来了，逗儿子玩：儿子，告诉我，你爸爸是干嘛的！,儿子骄傲滴说：我爸爸是警！察，他等下就来接我了！,老公愣了好一会，回头问我：他爸爸不是我？","
2020-08-03 08:35
",3404
.该用户已注销,"同事林林一大早就发呆，问咋了？她说昨晚梦到手机被一个不认识的小哥哥碰掉了，手机保护屏碎了。,我笑，梦与现实相反的，别担心，林林说“刚上班路上手机不小心掉地上，保护屏真的碎了。”,看到林林闷闷不乐，我挖空心思安慰她，安慰半天，林林幽幽的回一句“梦里的那个小哥哥真帅，我当时怎么没加他微信呢，我真是笨死了。”,我去，特么我还以为是心疼手机","
2020-08-03 07:36
",1328
狐小乔,"二舅买了个烧烤架，说是带我一起去郊外吃烧烤。享受一下大自然的快乐。,我在一旁看书，赶蚊子，二舅在那烤。,过了一会，二舅问我会不会爬树，我说爬树干嘛？,二舅：爬上去看有没有信号，有信号点个外卖，刚刚烤糊了……","
2020-09-04 22:03
",1763
偷惢,"昨天下午，领导通知由于台风“巴威”登陆，提前下班并且明天放假一天。打完卡后还站在门口挨个拍拍肩膀提醒一下回家路上注意安全，可轮到我时却跳了过去拍下一个人的肩膀，我走了两步越想越委屈，于是回去可怜巴巴的望着他。,领导恍然大悟，拍了拍我的肩膀，提高声音道:大家注意了，跟她顺路的最好一起走，如果台风提前来可以抱着她防止被吹走！","
2020-08-27 11:15
",1924
正版煮茶,"结婚的时候，给老丈人端茶。老丈人跟我和我老婆说：“结婚后，夫妻之间要有商有量，生气也不可动手。我再强调一遍...”,正在这时，伴郎跟我说手机响了（我手机放他那）。我想着还没回老丈人让他放心呢。,老丈人对我大手一挥：“你去接电话吧，这没你的事！”转头对我老婆说：“我再强调一遍，结婚后，夫妻之间要有商有量，生气也不可动手...”","
2020-08-30 11:25
",2171
挖鼻孔的老虎,"新来的女同事挺优秀，别人会的她都会，别人不会的她也会。,午休时闲聊，我说：“有没有什么事情是你不会但我会的，你说一个，让我心理平衡些。”,她吃着块蛋糕说：“我不会胖。”","
2020-08-20 13:37
",1949
歌歌哒f,"以前我舅家种有葡萄，每到成熟要卖时基本上都请不到工，特别是男工，就算偶尔有请到一两个，工钱也是平时的好几倍，所以每到卖葡萄时家里的男劳动力必须到场……,那时每到卖葡萄时我都去帮忙，我经常被舅舅舅母夸，可和我一般大的表弟就懒了，越忙的时候他吃饭上厕所啥的就越慢，,直到有次我舅家卖葡萄而我刚好带着几个女同学去，那天我表弟特勤快，简直有万夫莫挡之勇，每次都是满担满担的挑，而且走起来还带风，那天也是他第一次被夸……,后来我舅家摘葡萄卖，我舅都会提前打电话让我喊几个女同学去，不但不要她们干活而且还给钱，只要她们坐在显眼的地方就可以了，而我表弟也在一次次挑担中略显疲劳……","
2020-07-21 16:38
",2492
偷惢,"上个月陪哥们去要债，这货去人家里之前拎着两个啤酒瓶，我以为他要闹事，担心的不得了。到了之后欠债的不想给，哥们二话不说直接“咣咣”两下砸自己头上了，把欠债的吓坏了，哆哆嗦嗦的把钱还了。,今天我去要债，在小卖部门口看到有空酒瓶也拿了一个。不出所料，到了之后果然各种推脱，我一生气，用啤酒瓶砸一下，没碎，再砸一下，还是没碎。可头上却起了两个大包，疼的我龇牙咧嘴的，钱没要回来不说，还自己跑去看了医生。,哥们听说我受伤跑来问我怎么回事？我哭哭啼啼的把事情原委告诉了他，他一拍大腿:“你个憨憨！我那是网购来的道具瓶子，一敲就碎了！”,这下，我摸着头上的大包哭的更伤心了……","
2020-07-31 17:50
",1775
坏小孩cium,"闲置物品群里有人卖二手的电动轮椅，五百块，我很有购买欲望，老公白了我一眼说：稍等下哈！我帮你!我心里美滋滋的。。。,        一会儿老公出来了，走到我面前，用力摁住我双蹄，默默从背后掏出了锤子。。。","
2020-09-03 07:00
",2138
金失&金华,"和老婆去花卉市场买几盆花，我殷勤的给老婆介绍……“这是玫瑰花，火辣热情，这是牡丹花，国色天香……”,正巴拉巴拉介绍呢，媳妇突然问：“你看看我，对你来说我是什么花？”,“你？你是昨日黄花……”,最后花没买成，得了一头包……","
2020-08-03 08:10
",1212
狐小乔,"晚上同学聚会吃烧烤（有男有女），忽然跑来一个哥们，穿短裤、运动鞋，一屁股就坐我旁边，端起我的酒杯说：对不起，我来晚了，自罚一杯！,说完就一饮而尽，我们都看傻了，这是谁呀？,等他撸了两个串，我试探着问：我们认识吗？,那哥们笑着说：呦，我入错场了，我再干一杯赔罪。说完又喝一杯。然后站起来想走。,我拉住他说：大哥既然好喝一口，咱一起吧。,哥们真诚地笑道：谢谢美女，我要回家跟你嫂子复命，不让在外喝酒，我这不借夜跑的机会，蹭两杯酒喝……,结婚的男人太难了！","
2020-08-12 19:11
",2620
璃白°,"在外面逛街，一个女生有急事而手机没电的，我热心的把电话借给她打，她打着就和对方吵起来了，我看人多，会吵到别人，就让她回避下，到旁边巷子里打，我陪她，然后一入巷子转角，她人不见了。。。。,第二天没手机用了，最要紧事怕人家说我憨兮兮的，只好去买一部同机型的二手的顶着。,用了两天，同事说你手机上你的名字标好漂亮哪里打的，我看了下手机背面，回忆道:去年大景城那里打的。。。,​","
2020-07-28 08:10
",1364
夏有凉风秋望月,"有时候觉得自己是个特别幸运的人，遇到了一个好老板，是多么幸福的事情！,由于在上班时间看一个网名叫叫八犬写的糗事，说自己在上厕所的时候溅了一屁 股粪水，遭到家人的嫌弃。笑的把正在喝水的我，直接把水吐到了键盘上，把我的电脑给烧了！,老板知道我也是糗友后，一点没有发脾气，也没有扣我工资！只是微笑的让我去打扫厕所！,是整座楼的男厕所，一个月！","
2020-07-24 20:05
",1529
璃白°,"去海滩游泳迷恋潜水，憋气吸气，所以上大号的时候偷偷练，大号完，发现没水了，只好羞愧离去。,刚才清洁阿姨拿着喇叭在海滩大喊:禁止把羊拉进厕所上大号，小孩会当珍珠误食啊。。。","
2020-09-01 05:54
",1184
石头，剪刀，破布,"闺蜜家快装修好了，我瞅空到她家参观了一下，发现她家买的灯都挺好看的，客厅买的水晶大灯最为豪华。,禁不住感慨：“这么多灯都打开，你家电表得跑的多快呀，兔子都撵不上了。”,谁知她说：“谁说我要都开，家里来客的时候才会开，看客人啥身份，啥身份开啥灯。”,悠悠的问……“我呢”……？,人家回……“壁灯”……","
2020-07-30 15:00
",2801
-小门神~,"买了一箱青皮核桃，爷爷以为是啥珍稀水果，趁我不注意抓了一个就咬！,他吃着嘴里苦涩还麻麻的。我笑道：先去掉青皮，露出核桃，再用锤子敲开吃核桃肉！,爷爷恍然大悟，责问我怎么不早说！他利索地去掉青皮，然后拿了一把锤子，,说是要把我脑袋敲开,………","
2020-09-14 17:38
",1255
卖火柴的小妮子,"经过上司位置，喊住我说谈论我提交的报表问题，我一边听上司指导，一边吃着他桌子前的葡萄，还时不时夸下真甜，要不要来几颗，几次之后，上司说我手脏他不吃了。。。,我总是听不太懂，一个小时后，葡萄也吃完了，事情上司也帮我把报表改完了。。。","
2020-08-19 08:28
",1008
挖鼻孔的老虎,"公司买了一批螺帽和胶圈，结果厂家混在一起寄来，我们只好逐个把两样东西分开。,小零件分起来很麻烦，清洁阿姨经过，说她在饭堂干了二十年，这个最拿手。,然后她找来个勺子，舀起一勺零件一抖，较重的螺帽抖了出来，勺子里只剩胶圈。","
2020-09-10 08:26
",2056
.该用户已注销,"最近和闺蜜胖丫一起减肥跑步，跑了一个月，胖丫要去参加马拉松。,我看了看五公里起步，没有参加，胖丫让我去终点站迎接勇士归来！,我左等右等，参加的人都回来老半天了才看到晃悠悠的胖丫，我连忙跑过去关切的说:怎么了？有没有哪不舒服？胖丫摇摇头，我又追问，没事怎么走回来呢？,胖丫才委屈的说:婷婷，补给站给的香蕉，零食太好吃了，我吃撑着了，所以慢慢走回来的。。","
2020-08-12 08:18
",1491
狐小乔,闺蜜每天参加各种饭局，我问她，你就不怕被人占便宜吗？她说：“我长得安全，不怕。”我：“姐，你长这样，还有人请你饭局?”二货嘿嘿一笑：“至少我是个女的啊。”,"
2020-08-13 15:47
",1708
卖火柴的小妮子,"上司动手术了，这周的周例会没人主持协调了，很多事情都暂缓了，趁着去医院看她的间隙，我热心的本着打下手帮忙的心情问她：您不在，很多事都慢了，这会议没人支持，要不我代为主持可以么？,她正在削皮的水果刀停下了，眼中闪出精芒，桀桀的冒出一句：活都让你做完了，那我回去以后还能做什么。。。。","
2020-08-22 07:03
",1708
花落彼岸～任逍遥,"我有一堂姐嫁给了杨家的一个小伙子，那个小伙子按照辈分我叫他叔叔。,我堂姐嫁给他后我叫他姐夫他骂我说我占便宜，我管我堂姐叫婶子，我堂姐给我一巴掌，说我是属哈巴狗的巴结他老公，艾玛我太难了","
2020-08-29 07:33
",1379
南九,"我在看书，女儿在看动画片。,咯咯咯……,突然女儿跑进我房间，说:时间好快呀！真怀念以前！,听得我很诧异！不知小小的她为何说出这番话来。,为了教育孩子，我从人生讲到价值，从学习讲到生活。,最后总结说:你现在还小，属于你的时间还很多，要多学习，多做自己喜欢的事情！,女儿忽闪着大眼睛跟我说:爸爸，我知道了。,离开我的房间后，女儿在客厅跟他妈妈说:妈妈，爸爸说属于我的时间还很多，你就让我再看一集动画片吧……","
2020-08-06 07:47
",1205
花落彼岸～任逍遥,"小时候特别嘴馋经常被着老爸去偷摘别人家的苹果或者梨之类的。,有一天我正在隔壁村的果树园子摘果子，正巧我老爸从外面回来看到我揪着我就一顿胖揍，然后把我提留着上主家给人道歉。,主家居然跟我爸认识，看到我被揍的鼻青脸肿的觉得特别不好意思居然送了我们十多斤。,我老爸看着我嘿嘿一笑:“突然发现一个免费吃水果的好方法……","
2020-09-13 10:49
",1122
空城旧梦她与伞,"初中毕业后，在县城做学徒，带我的那个师傅，喝两杯后，常常在我面前吹嘘自己当年如何风流倜傥，一个农村穷小子，竟然追到了村花。,有次还拿着他老婆的照片给我看，看那眉目，年轻时应该是个美人胚子。,后来我技术学成，南下广东，独在异乡为异客，寂寞空虚冷。那天忽遇厂花，惊为天人，却总觉得似曾相识，绞尽脑汁却想不起来在哪见过。,于是展开热烈追求，厂花根本不为所动。心情烦闷下，并向师傅讨教，师傅也是知无不言言无不尽，教了我很多套路。,终于成功抱的美人归。,年底随厂花去见她父母，推开房门，我和她爸爸两人都愣住了。,师傅……，谢谢您啊，一日为师，终生为岳父啊","
2020-09-06 06:53
",2513
偷惢,"回家路上看到有卖打糕的，想到老爸爱吃，于是买了一份，还打电话美滋滋的告诉他我特意给他买的。,刚到家老妈说有点饿了，想着这么早老爸不能下班，一会再出去给他买一份。于是拎过去跟老妈说:妈你饿啦？我特意给你买的打糕，赶紧吃吧。一会爸回来你就吃不着啦！,然后，我爸一脸黑线的从房间里走了出来……","
2020-08-28 22:04
",2400
璃白°,"都说穷人的孩子早出家，啊～呸，是早当家。小的时候住在山区，七岁的时候就已经很懂事了。,那年和邻居家的大婶和老太太们进山采蘑菇。她们怕我走丢，身边特意留了一个面慈心善的老刘太太。走着走着我发现了有一小堆儿黄色的小蘑菇。记得从家走的时候老妈告诉我这种蘑菇是可以吃的。我兴冲冲地把那一堆蘑菇全都采了下来。采完蘑菇我正要和刘奶奶炫耀的时候。我发现刘奶奶的眼珠转。而且转的速度向开了三挡的电风扇叶子一样。我还好奇的问刘奶奶怎么了？刘奶奶笑眯眯的回答我：哦。眼里进灰了。说完刘奶奶歪头看了看，我筐子里的蘑菇。大惊失色倒吸一口冷气，放里个屁“嘶”：丫头啊！你这蘑菇有问题呀！这个是毒蘑菇。我听满脑子问号：刘奶奶，这是真的吗？刘奶奶胸膛拍得山响：老太太我活了70多岁。还能骗你这丫头？扒拉扒拉讲了半个小时。嘴角都冒白沫了。无奈之下我就把蘑菇扔了。下午大家集合，准备回家的时候，刘奶奶说肚子不舒服。落后了一会儿。,回到家后把事情和老妈说了。老妈听了没知识。做饭的时候让我去刘奶奶家借酱油。我去的时候。发现刘奶奶家正在洗蘑菇。最先洗好的，就是之前我扔掉的那一堆小黄蘑菇。","
2020-08-24 12:00
",2372
